ID,repo_url,issue_url,issue_node_id,issue_created_at,issue_updated_at,issue_state,issue_comments_count,comment_id,comment_url,comment_author,comment_created_at,comment_updated_at,comment_body,line_count,char_count,language,sentiment_label_manual
1,https://github.com/Aider-AI/aider,https://github.com/Aider-AI/aider/issues/800,I_kwDOJhC06c6On-Rt,2024-07-05T15:55:20Z,2026-02-11T02:37:17Z,OPEN,4,IC_kwDOJhC06c7ml87m,https://github.com/Aider-AI/aider/issues/800#issuecomment-3868708582,rs545837,2026-02-09T00:44:50Z,2026-02-09T00:44:50Z,"For what it's worth, I built a Git merge driver called [weave](<URL> that tackles part of this problem. It uses tree-sitter to parse code and merge at the function/class level instead of lines. This handles the common case where git produces false conflicts because two branches added to the same line range (different functions, same location). It doesn't do LLM-based semantic resolution (yet), but it eliminates most false positives. 31/31 clean merges vs git's 15/31 on concurrent edits. Plugs in as a standard git merge driver, works transparently with / / .",1,563,en,neutral
2,https://github.com/react/react-native,https://github.com/react/react-native/issues/27741,MDU6SXNzdWU1NDg0NTM4ODk=,2020-01-11T17:01:58Z,2026-02-12T15:21:20Z,OPEN,40,IC_kwDOAbrxp8503Plg,https://github.com/react/react-native/issues/27741#issuecomment-1960638816,fukemy,2024-02-23T02:07:29Z,2024-02-23T02:07:29Z,"can someone help me, stream not working with my IOS simulator : <URL>",1,69,en,neutral
3,https://github.com/warpdotdev/warp,https://github.com/warpdotdev/warp/issues/2703,I_kwDOFua7Vs5fRGLQ,2023-02-24T10:08:35Z,2026-06-06T22:53:39Z,CLOSED,49,IC_kwDOFua7Vs6UUkYt,https://github.com/warpdotdev/warp/issues/2703#issuecomment-2488419885,cyril94440,2024-11-20T12:10:14Z,2024-11-20T12:10:14Z,"Loosing time also on my side, hesitation between cursor and warp. Thanks for sharing some icons alternative!",1,108,en,positive
4,https://github.com/prisma/prisma,https://github.com/prisma/prisma/issues/2505,MDU6SXNzdWU2MjAzMDgzNTg=,2020-05-18T15:37:34Z,2026-06-04T02:01:50Z,OPEN,94,IC_kwDOC3_Qic5KnMIr,https://github.com/prisma/prisma/issues/2505#issuecomment-1251787307,andrewmclagan,2022-09-20T03:20:42Z,2022-09-21T01:24:37Z,"Looking at [their roadmap](<URL> This feature is literally not even on it anymore. The main frustration everyone here is voicing is a complete lack of communication and transparency. It's impossible for an organisation to commit trust in Prisma with any level of confidence. Pretty please Prisma, simply be better at communicating.",1,331,en,negative
5,https://github.com/bevyengine/bevy,https://github.com/bevyengine/bevy/issues/23354,I_kwDODf6-U87yyxP4,2026-03-13T21:05:20Z,2026-04-25T14:55:46Z,OPEN,9,IC_kwDODf6-U87yD3ng,https://github.com/bevyengine/bevy/issues/23354#issuecomment-4061100512,viridia,2026-03-14T18:57:19Z,2026-03-14T19:00:57Z,"I think a crate makes sense. A ""bevy-centric"" undo in the classic mode would probably look something like this: * A Resource with an undo stack and redo stack. * The Undo action pops an entry off of the undo stack, consumes it, and produces a redo action, plus side effects. * The inverse for the Redo action. * The actions themselves are maybe something like ECS Commands? It's hard to say what they will need access to. * Each action has a method which returns a text label for the UI. You can look at the top of the undo or redo stack to get the label, or None if the stack is empty. Coalescing is going to be a challenge because of type erasure. In an app where the possible undoable actions are a closed set, you can represent undo actions with an enum and then just to a match. But because we want the editor to be open-ended, we can't model the actions with an enum; so this means that undo actions need to be downcastable in order to determine whether the top-of-stack action can be merged with the next action. For the nested modality question, I'd do the easiest possible thing, which is to have two resources, each with their own undo and redo stack: AppUndo and TextUndo. TextUndo handles ctrl-z while a text input is focused, and can be used standalone even in apps that don't have AppUndo support. I said earlier that I didn't want to have separate undo frameworks for text input and for the bevy editor; but that statement only is true if the undo framework is non-trivial. If it's tiny and simple, then I don't care if there are two of them. Having an undo that just deals with text strings, and which is built in to text input, might yield significant complexity savings for devs who don't need a complex undo system.",1,1734,en,neutral
6,https://github.com/freeCodeCamp/freeCodeCamp,https://github.com/freeCodeCamp/freeCodeCamp/issues/55363,I_kwDOAbI7X86N2qYZ,2024-06-28T08:46:00Z,2026-03-17T04:35:46Z,OPEN,6,IC_kwDOAbI7X86DCvnj,https://github.com/freeCodeCamp/freeCodeCamp/issues/55363#issuecomment-2198534627,akshithere,2024-06-30T11:47:16Z,2024-06-30T11:47:16Z,Can i work on it? <USER>,1,24,en,neutral
7,https://github.com/zhayujie/CowAgent,https://github.com/zhayujie/CowAgent/issues/1137,I_kwDOHx-ACM5mlE6I,2023-05-23T01:49:26Z,2026-06-01T03:02:06Z,CLOSED,5,IC_kwDOHx-ACM8AAAABEYnZ6A,https://github.com/zhayujie/CowAgent/issues/1137#issuecomment-4589214184,zhayujie,2026-06-01T03:02:02Z,2026-06-01T03:02:02Z,"Thanks for reporting this! This issue has had no activity for over a year and predates our major rewrite, so we're closing it during a backlog cleanup. 🚀 **[CowAgent](<URL> has been upgraded to 2.0** — an open-source super AI assistant & agent harness. It plans tasks, runs tools and skills, and autonomously grows with memory and a local knowledge base. Multi-model, multi-channel, lightweight, extensible, one-line install. If your need still applies to the new version, we'd love to hear it — feel free to open a fresh issue. ❤️ --- 感谢反馈！此 issue 一年多没有活动，且属于项目大版本重构之前的时期，我们在清理历史 backlog 时将其关闭。 🚀 **[CowAgent](<URL> 已升级到 2.0**，升级为开源的超级 AI 助手 & Agent Harness 框架。能规划任务、调用工具与技能，并通过记忆和本地知识库自主成长。多模型、多渠道，轻量、可扩展，一行命令安装。 如果你的需求在新版本上依然适用，欢迎新建一个 issue 告诉我们 ❤️",1,751,en,positive
8,https://github.com/milvus-io/milvus,https://github.com/milvus-io/milvus/issues/48633,I_kwDODHDyxM74oYX9,2026-03-30T14:41:07Z,2026-04-10T22:05:02Z,OPEN,6,IC_kwDODHDyxM7787yA,https://github.com/milvus-io/milvus/issues/48633#issuecomment-4227054720,xiaofan-luan,2026-04-10T22:04:24Z,2026-04-10T22:04:24Z,"I will definitely take a look and we need to do thorough test before merge., Thanks for the contribution.",1,105,en,neutral
9,https://github.com/sveltejs/svelte,https://github.com/sveltejs/svelte/issues/8655,I_kwDOBG2gSc5nFoBx,2023-05-28T15:39:06Z,2026-06-09T10:35:06Z,OPEN,10,IC_kwDOBG2gSc6m0-jU,https://github.com/sveltejs/svelte/issues/8655#issuecomment-2798905556,kyle-leonhard,2025-04-12T16:55:43Z,2025-04-12T17:22:34Z,"Thanks for the detailed reply and advice, <USER>. As far as I can tell, I don't have a circular dependency, but I'll look more closely. My situation (<URL> * +page.svelte calls setContext<Foo>(Foo, foo) * componentA.svelte instantiated on the page calls getContext<Foo>(Foo) and access field in the component script * componentB.svelte instantiated by componentA calls getContext<Foo>(Foo) and access field in the component script What happens: * Edit +page.svelte and trigger HMR - things work * Edit componentA.svelte and trigger HMR - the context returned by getContext is undefined and thus accessing field bar fails * Edit componentB.svelte and trigger HMR - the context returned by getContext is undefined and thus accessing field bar fails I don't have any further detailed info to provide. Feel free to close the issue!",1,827,en,neutral
10,https://github.com/cypress-io/cypress,https://github.com/cypress-io/cypress/issues/25864,I_kwDOAeKht85etgaj,2023-02-17T08:57:22Z,2026-02-02T22:47:57Z,CLOSED,16,IC_kwDOAeKht85VuOMw,https://github.com/cypress-io/cypress/issues/25864#issuecomment-1438180144,matys84pl,2023-02-21T09:54:42Z,2023-02-21T09:54:42Z,"<USER> we've tried different docker images but without any results. We still get the error. I tried using and as you suggested but no luck also. <USER> unfortunately I cannot. We've tried so many things to actually track it down, but couldn't find a single reason for it... we're at the stage of basically .skip(ing) every instance of it.. but it keeps returning on new (random) tests. Regarding our usages of : - we have a quite large number (~100) of intercepts in - all of them now being simple or - yes, we have cases where we intercept the same request again in test body - we don't have any - nothing unique (everything unique was already removed to fix the issue...) - we use - yes, we use Parallelization but it also fails if we run a single job IMHO, at this point, we really need a very detailed log that could tell us: - which exactly intercept (if this is really because of it) caused this .next error - why it's trying to call .next and why it called .next previously If you could provide us a version with very detailed log I'm happy to run it and post the results here immediately.",1,1096,en,negative
